query,category,language
flights to 首尔,旅游出行,英文
化妆品 in stock,电商购物,英文
吸尘器品牌推荐,家居生活,中文
路由器 warranty,科技数码,英文
is 发烧 contagious,健康医疗,英文
烹饪课程推荐,教育学习,中文
latest Switch,科技数码,英文
瑜伽培训班,教育学习,中文
胃痛的注意事项,健康医疗,中文
曼谷美食推荐,旅游出行,中文
寿司 ingredients,餐饮美食,英文
AirPods常见问题,科技数码,中文
股票 strategy,金融理财,英文
衣服正品保证,电商购物,中文
股票 financial products,金融理财,英文
PS5 system update,科技数码,英文
路由器 performance review,科技数码,英文
复仇者联盟 sequel,娱乐影音,英文
跑步 for beginners,运动健身,英文
仰卧起坐训练视频,运动健身,中文
床垫 maintenance,家居生活,英文
healthy 披萨,餐饮美食,英文
披萨 calories,餐饮美食,英文
甜点 calories,餐饮美食,英文
普拉提注意事项,运动健身,中文
复仇者联盟剧情介绍,娱乐影音,中文
盗梦空间剧情介绍,娱乐影音,中文
瑜伽培训班,教育学习,中文
玩具正品保证,电商购物,中文
how to clean 床垫,家居生活,英文
盗梦空间 soundtrack,娱乐影音,英文
比特币税收政策,金融理财,中文
流浪地球 cast,娱乐影音,英文
油烟机 value for money,家居生活,英文
比特币 risk level,金融理财,英文
股票 financial products,金融理财,英文
基金提现时间,金融理财,中文
MacBook保修政策,科技数码,中文
窗帘 lifespan,家居生活,英文
过敏需要手术吗,健康医疗,中文
过敏挂什么科,健康医疗,中文
感冒吃什么药,健康医疗,中文
悉尼酒店推荐,旅游出行,中文
how to make 咖啡,餐饮美食,英文
保险提现时间,金融理财,中文
腰痛恢复时间,健康医疗,中文
how to buy 贷款,金融理财,英文
衣服 size chart,电商购物,英文
期货手续费,金融理财,中文
感冒的并发症,健康医疗,中文
高血压的症状,健康医疗,中文
权力的游戏 box office,娱乐影音,英文
骑行 precautions,运动健身,英文
how to return 玩具,电商购物,英文
吸尘器 style matching,家居生活,英文
is 基金 good for beginners,金融理财,英文
authentic 面条 recipe,餐饮美食,英文
肖申克的救赎上映时间,娱乐影音,中文
购物车里的书籍怎么删除,电商购物,中文
衣服发货时间,电商购物,中文
寿司 delivery,餐饮美食,英文
how to learn 吉他,教育学习,英文
PS5 warranty,科技数码,英文
AirPods常见问题,科技数码,中文
普拉提需要什么装备,运动健身,中文
